name	           RA         Dec       dist_Mpc	loglumK     
AGC102728          00:00:21.4 +31:01:19	8.87	 6.13
UGC12894           00:00:22.5 +39:29:44	8.47	 7.58
PGC000083          00:01:06.5 +32:22:41	9.29	 7.18
WLM                00:01:58.1 -15:27:40	0.98	 7.70
AndXVIII          00:02:14.5 +45:05:20	1.31	 6.44
PAndAS-03          00:03:56.4 +40:53:19	0.78	 4.38
PAndAS-04          00:04:42.9 +47:21:42	0.78	 5.59
PAndAS-05          00:05:24.1 +43:55:35	0.78	 4.75
ESO409-015         00:05:31.8 -28:05:53	8.71	 8.10
AGC748778          00:06:34.4 +15:30:39	6.22	 6.39
AndXX             00:07:30.7 +35:07:56	0.80	 5.26
UGC00064           00:07:44.0 +40:52:32	9.60	 8.15
ESO349-031         00:08:13.3 -34:34:42	3.21	 7.12
NGC0024            00:09:56.4 -24:57:48	7.31	 9.48
NGC0045            00:14:03.9 -23:10:56	6.64	 9.33
PiscesA            00:14:46.0 +10:48:47	5.65	 6.53
NGC0055            00:15:08.5 -39:13:13	2.11	 9.48
NGC0059            00:15:25.1 -21:26:38	4.90	 8.66
ESO410-005         00:15:31.4 -32:10:48	1.93	 6.89
LVJ0015-3825      00:15:38.3 -38:25:41	7.31	 6.68
AndXIX            00:19:32.1 +35:02:37	0.93	 6.80
IC0010             00:20:24.5 +59:17:30	0.79	 8.63
JKB129             00:20:41.4 +08:37:01	8.90	 7.39
AndXXVI           00:23:45.6 +47:54:58	0.76	 5.02
Sc22               00:23:51.7 -24:42:18	4.29	 7.15
Cetus              00:26:11.0 -11:02:40	0.79	 7.03
ESO294-010         00:26:33.3 -41:51:20	2.03	 6.30
UGC00288           00:29:04.0 +43:25:54	6.82	 7.80
AndXXV            00:30:08.9 +46:51:07	0.81	 6.38
ESO473-024         00:31:22.5 -22:45:57	9.90	 7.72
NGC0147            00:33:11.6 +48:30:28	0.76	 8.21
ScuSR              00:33:51.8 -27:50:24	4.00	 6.36
AndIII            00:35:33.8 +36:29:52	0.75	 6.50
CasIII            00:35:59.4 +51:33:35	0.78	 7.56
AndXXX            00:36:34.9 +49:38:48	0.68	 5.94
AndXVII           00:37:07.0 +44:19:20	0.74	 5.78
AndXXVII          00:37:27.1 +45:23:13	0.83	 5.88
KK7                00:37:42.4 -43:30:16	10.86	 7.69
NGC0185            00:38:58.0 +48:20:10	0.66	 8.36
NGC0205            00:40:22.5 +41:41:11	0.80	 8.90
AndIV             00:42:32.3 +40:34:19	7.18	 7.22
